"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"1999" 112971 "woman" 1923 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1712.83544921875 1.52011442184448 "1999"
"736" 41941 "woman" 1935 "Netherlands and territories" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 3045.96655273438 2.7032470703125 "736"
"2003" NA "man" 1934 NA NA NA NA "other self-employed" "other self-employed" 1037.70031738281 0.920942664146423 "2003"
"1802" 102851 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "intermediate professions" NA 643.886108398438 0.571438729763031 "1802"
"1281" 73051 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA NA 1566.13488769531 1.3899199962616 "1281"
"1030" 58601 "man" 1935 "Switzerland" "french" "no denomination or religion" "religious celebrations and family events" "academic professions and senior management" NA 684.728454589844 0.607685685157776 "1030"
"162" 11921 "woman" 1918 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 1285.59790039062 1.1409478187561 "162"
"973" 55411 "woman" 1955 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 966.989135742188 0.858187556266785 "973"
"1924" NA "man" 1948 NA NA NA NA NA NA 1649.02404785156 1.4634827375412 "1924"
"1551" 88451 "man" 1921 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "unqualified non-manual and manual workers" 1298.44580078125 1.15235006809235 "1551"
"1868" 106041 "man" 1933 "Switzerland" "german" "other" "only for family ceremonies" "intermediate professions" "unqualified non-manual and manual workers" 794.820251464844 0.705390453338623 "1868"
"272" 17261 "woman" 1950 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1181.63452148438 1.04868197441101 "272"
"613" 34201 "woman" 1954 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "intermediate professions" "academic professions and senior management" 1416.29382324219 1.25693833827972 "613"
"1352" NA "woman" 1945 NA NA NA NA "qualified manual professions" "unqualified non-manual and manual workers" 1901.05529785156 1.6871565580368 "1352"
"2017" 113781 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 800.956298828125 0.710836052894592 "2017"
"838" 47401 "woman" 1945 "Switzerland" "french" "other Christian denomination" "once a week" "intermediate professions" NA 881.38427734375 0.7822145819664 "838"
"1446" 82671 "woman" 1947 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 772.717834472656 0.685774862766266 "1446"
"1036" 58851 "man" 1934 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 814.062561035156 0.722467660903931 "1036"
"102" 8391 "woman" 1946 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 641.4072265625 0.569238781929016 "102"
"2526" 144831 "woman" 1956 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 654.364990234375 0.580738544464111 "2526"
"1949" 109861 "woman" 1942 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "other self-employed" 1040.29443359375 0.923244833946228 "1949"
"220" 14481 "man" 1916 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" NA NA 1947.056640625 1.72798192501068 "220"
"1921" 108821 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified non-manual professions" "qualified non-manual professions" 892.617431640625 0.792183816432953 "1921"
"536" 30001 "woman" 1943 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 1054.23791503906 0.935619413852692 "536"
"2056" 116451 "man" 1952 "Switzerland" "french" "Roman Catholic" "about once a month" NA NA 692.513244628906 0.614594578742981 "2056"
"2563" 146781 "man" 1956 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 739.407531738281 0.656212508678436 "2563"
"607" 33751 "man" 1941 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1203.04223632812 1.06768095493317 "607"
"1837" 104771 "woman" 1948 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" "qualified non-manual professions" 962.503356933594 0.854206502437592 "1837"
"271" 17191 "man" 1956 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "other self-employed" "other self-employed" 728.421875 0.646462917327881 "271"
"48" 5511 "woman" 1932 "Switzerland" "french" "other Christian denomination" "once a week" "intermediate professions" "intermediate professions" 1786.82067871094 1.58577513694763 "48"
"1749" 100351 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 764.832885742188 0.678777098655701 "1749"
"1046" 59061 "woman" 1935 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1138.2314453125 1.01016235351562 "1046"
"1825" NA "woman" 1955 NA NA NA NA NA NA 665.821350097656 0.590905904769897 "1825"
"1726" 99331 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" "other self-employed" 1007.86944580078 0.894468188285828 "1726"
"1883" 106781 "woman" 1950 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "qualified manual professions" NA 779.43701171875 0.69173800945282 "1883"
"1142" NA "woman" 1956 NA NA NA NA "other self-employed" NA 694.017944335938 0.615929961204529 "1142"
"1634" 93611 "man" 1957 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 737.615478515625 0.654622077941895 "1634"
"1781" NA "woman" 1952 NA NA NA NA "other self-employed" NA 918.371154785156 0.815039873123169 "1781"
"1227" 69531 "woman" 1926 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "qualified manual professions" NA 1385.63586425781 1.22972989082336 "1227"
"115" 9161 "woman" 1951 "Switzerland" "french" "Roman Catholic" "about once a month" "intermediate professions" "intermediate professions" 589.335388183594 0.523025810718536 "115"
"986" 56081 "woman" 1957 "Switzerland" "french" "Protestant or Reformed Church" "every two weeks" "other self-employed" "other self-employed" 807.282897949219 0.716450810432434 "986"
"893" 50551 "man" 1953 "Itally" "french" "Roman Catholic" "every two weeks" "qualified manual professions" NA 1350.12109375 1.19821107387543 "893"
"1978" 111361 "man" 1943 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" NA NA 1022.515625 0.907466471195221 "1978"
"1299" 74191 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1072.03259277344 0.951411962509155 "1299"
"274" 17361 "man" 1947 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 681.1943359375 0.604549169540405 "274"
"1295" NA "woman" 1919 NA NA NA NA "liberal professions" NA 1462.21484375 1.29769253730774 "1295"
"350" 20891 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "once a week" NA NA 1106.11486816406 0.981659471988678 "350"
"2315" 132231 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" "other self-employed" 887.575988769531 0.787709653377533 "2315"
"2480" 142561 "woman" 1942 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 1351.8271484375 1.19972515106201 "2480"
"688" 38761 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "liberal professions" NA 749.146301269531 0.664855539798737 "688"
"1723" 99151 "woman" 1935 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1754.26623535156 1.55688345432281 "1723"
"2532" 145101 "woman" 1933 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified manual professions" NA 2285.24633789062 2.02812004089355 "2532"
"2075" 117401 "man" 1940 "Austria" "french" "Roman Catholic" "religious celebrations and family events" "academic professions and senior management" NA 2133.4970703125 1.89344501495361 "2075"
"1977" 111251 "woman" 1954 "Switzerland" NA NA NA NA NA 1397.18200683594 1.23997688293457 "1977"
"1259" 71621 "man" 1942 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 789.126220703125 0.700337052345276 "1259"
"517" 28741 "man" 1949 "Germany" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 3315.67358398438 2.94260787963867 "517"
"2573" 147461 "woman" 1938 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1475.16918945312 1.3091893196106 "2573"
"1527" 86781 "man" 1942 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "other self-employed" 1984.27392578125 1.76101171970367 "1527"
"882" 50041 "woman" 1934 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "qualified manual professions" NA 1304.4072265625 1.15764081478119 "882"
"2097" 118181 "man" 1932 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA "unqualified non-manual and manual workers" 1282.54077148438 1.13823461532593 "2097"
"711" 40231 "woman" 1948 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 846.646301269531 0.75138521194458 "711"
"344" 20531 "woman" 1946 "Itally" "german" NA NA NA NA 1112.02465820312 0.986904323101044 "344"
"1533" NA "woman" 1935 NA NA NA NA "other self-employed" "other self-employed" 1362.82580566406 1.2094863653183 "1533"
"2148" 122351 "man" 1951 "Itally" "french" "Roman Catholic" "about once a month" NA NA 1547.5498046875 1.37342596054077 "2148"
"77" 6971 "man" 1919 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1896.18432617188 1.68283355236053 "77"
"185" 13131 "woman" 1949 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "liberal professions" NA 634.371215820312 0.562994420528412 "185"
"45" 5391 "woman" 1942 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA "other self-employed" 866.71875 0.769199192523956 "45"
"1305" 74371 "woman" 1926 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "qualified manual professions" "qualified non-manual professions" 1209.60400390625 1.07350444793701 "1305"
"1260" 71621 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA "other self-employed" 603.594482421875 0.535680532455444 "1260"
"2079" 117481 "man" 1942 "United States and territories" "french" "Protestant or Reformed Church" "every two weeks" NA NA 2133.4970703125 1.89344501495361 "2079"
"53" 5841 "woman" 1957 "Switzerland" "french" "Roman Catholic" "a few times a year" "academic professions and senior management" "qualified non-manual professions" 556.7646484375 0.494119822978973 "53"
"2338" 133871 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "liberal professions" NA 794.91796875 0.705477118492126 "2338"
"1308" 74551 "woman" 1957 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 649.182556152344 0.576139211654663 "1308"
"1317" 74821 "man" 1934 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "other self-employed" "other self-employed" 744.980834960938 0.661158740520477 "1317"
"1300" 74201 "woman" 1955 "Switzerland" "german" "other Christian denomination" "once a week" "academic professions and senior management" NA 708.533447265625 0.628812253475189 "1300"
"2272" NA "woman" 1937 NA NA NA NA "other self-employed" "other self-employed" 1394.79284667969 1.23785662651062 "2272"
"2230" 126291 "woman" 1941 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" NA 1014.61608886719 0.900455713272095 "2230"
"2595" NA "woman" 1953 NA NA NA NA "unqualified non-manual and manual workers" NA 0 0 "2595"
"1803" 102881 "man" 1957 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 877.489685058594 0.778758227825165 "1803"
"2531" 145061 "woman" 1949 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 746.101928710938 0.662153661251068 "2531"
"1558" 88861 "woman" 1952 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1086.88977050781 0.964597523212433 "1558"
"1800" 102661 "woman" 1926 "Switzerland" "german" "Roman Catholic" "once a week" NA NA 1116.12121582031 0.990539968013763 "1800"
"1252" 71201 "woman" 1931 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1189.2861328125 1.05547261238098 "1252"
"777" 44461 "woman" 1954 "Switzerland" "italian" "Christian Catholic" "a few times a year" "academic professions and senior management" NA 671.369934082031 0.595830202102661 "777"
"24" 4001 "man" 1936 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 868.653686523438 0.770916402339935 "24"
"1607" 92031 "woman" 1919 "Switzerland" "german" "Roman Catholic" "once a week" NA NA 1852.56823730469 1.64412498474121 "1607"
"2598" 148921 "woman" 1927 "Switzerland" "italian" "Christian Catholic" "once a week" "intermediate professions" "other self-employed" 1465.41479492188 1.30053246021271 "2598"
"1642" 94201 "man" 1943 "Switzerland" "german" "Roman Catholic" "about once a month" "academic professions and senior management" NA 944.959228515625 0.83863639831543 "1642"
"2270" 129311 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 884.046997070312 0.78457772731781 "2270"
"1801" 102851 "man" 1946 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" NA NA 681.1943359375 0.604549169540405 "1801"
"1098" 61871 "woman" 1953 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 846.540771484375 0.751291513442993 "1098"
"1817" NA "man" 1921 NA NA NA NA "academic professions and senior management" NA 778.256713867188 0.690690577030182 "1817"
"543" 30251 "man" 1932 "Germany" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1581.26904296875 1.40335130691528 "543"
"1483" 84711 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1409.76806640625 1.25114691257477 "1483"
"120" 9331 "woman" 1953 "France and territories" "french" "Roman Catholic" "about once a month" "academic professions and senior management" NA 676.537780761719 0.600416600704193 "120"
"280" 17721 "man" 1945 "France and territories" "french" "Roman Catholic" "religious celebrations and family events" "unqualified non-manual and manual workers" NA 1525.03845214844 1.35344743728638 "280"
"358" 21451 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 728.783752441406 0.646784067153931 "358"
"1028" NA "woman" 1945 NA NA NA NA "qualified non-manual professions" NA 1280.89978027344 1.13677835464478 "1028"
"1032" 58641 "woman" 1922 "Switzerland" "german" "Roman Catholic" "once a week" "intermediate professions" "other self-employed" 1644.97290039062 1.45988750457764 "1032"
"323" 19571 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 877.647827148438 0.778898596763611 "323"
"1820" 103881 "man" 1947 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 603.498046875 0.535594999790192 "1820"
"454" 26171 "man" 1937 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "unqualified non-manual and manual workers" 1173.35681152344 1.04133558273315 "454"
"1819" 103881 "woman" 1952 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 570.445129394531 0.506261050701141 "1819"
"1021" 58271 "man" 1939 "Switzerland" "french" "Roman Catholic" "a few times a year" NA NA 758.975952148438 0.673579156398773 "1021"
"742" 42191 "woman" 1944 "Switzerland" "german" "Roman Catholic" "about once a month" NA "unqualified non-manual and manual workers" 1523.05725097656 1.35168921947479 "742"
"1944" 109661 "woman" 1946 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1057.1005859375 0.938160002231598 "1944"
"960" 54411 "woman" 1936 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1304.4072265625 1.15764081478119 "960"
"2132" 121571 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" "other self-employed" 966.989135742188 0.858187556266785 "2132"
"443" 25621 "man" 1945 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "qualified non-manual professions" 832.077453613281 0.738455593585968 "443"
"2312" 132191 "woman" 1926 "Switzerland" "german" "other" "once a week" "intermediate professions" NA 1489.1728515625 1.32161736488342 "2312"
"2227" NA "man" 1944 NA NA NA NA "qualified manual professions" NA 1028.05346679688 0.912381172180176 "2227"
"1" 2761 "woman" 1922 "Switzerland" "german" "Roman Catholic" "several times a week" "unqualified non-manual and manual workers" NA 1888.52026367188 1.67603194713593 "1"
"2052" 116381 "woman" 1941 "Germany" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 4264.533203125 3.78470587730408 "2052"
"1763" 101031 "woman" 1950 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" NA 682.553100585938 0.605755090713501 "1763"
"2331" 133401 "woman" 1953 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "unqualified non-manual and manual workers" NA 670.014892578125 0.594627618789673 "2331"
"588" 33191 "woman" 1932 "Itally" "german" "Roman Catholic" "once a week" "other self-employed" NA 1325.82287597656 1.17664682865143 "588"
"484" 27671 "woman" 1948 "Slovenia" "german" "Roman Catholic" "a few times a year" "top management" NA 2050.72924804688 1.81998980045319 "484"
"41" NA "woman" 1946 NA NA NA NA "other self-employed" "qualified manual professions" 0 0 "41"
"969" 55081 "man" 1949 "Portugual" "french" "Roman Catholic" "religious celebrations and family events" "academic professions and senior management" NA 1546.72985839844 1.37269830703735 "969"
"236" 15211 "man" 1956 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 592.756225585938 0.526061773300171 "236"
"937" 53651 "man" 1943 "Switzerland" "french" "no denomination or religion" "religious celebrations and family events" "academic professions and senior management" NA 1000.25317382812 0.887708902359009 "937"
"431" NA "man" 1937 NA NA NA NA "other self-employed" NA 894.205139160156 0.793592929840088 "431"
"1316" 74801 "woman" 1944 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "academic professions and senior management" 1210.42980957031 1.07423734664917 "1316"
"2497" 143701 "man" 1923 "Switzerland" "german" NA NA NA NA 1271.669921875 1.12858688831329 "2497"
"373" 22331 "man" 1931 "Switzerland" "german" "Christian Catholic" "every two weeks" "intermediate professions" NA 854.1904296875 0.758080542087555 "373"
"1341" 76451 "woman" 1931 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 2205.998046875 1.95778846740723 "1341"
"2142" 122211 "man" 1933 "Switzerland" "french" "no denomination or religion" "never" "unqualified non-manual and manual workers" NA 1065.24938964844 0.94539201259613 "2142"
"1706" 98651 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 1257.54956054688 1.11605536937714 "1706"
"1155" 66151 "man" 1943 "Switzerland" NA NA NA NA NA 1866.78771972656 1.65674459934235 "1155"
"1933" 109291 "man" 1936 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1016.04565429688 0.901724457740784 "1933"
"199" 13561 "woman" 1930 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1111.35717773438 0.986311912536621 "199"
"57" 6021 "woman" 1942 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" "intermediate professions" 1201.59716796875 1.06639850139618 "57"
"771" 43981 "woman" 1928 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 1137.88110351562 1.00985157489777 "771"
"694" 39411 "woman" 1947 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "other self-employed" "other self-employed" 1205.91027832031 1.07022631168365 "694"
"176" 12352 "man" 1955 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 735.561157226562 0.652798891067505 "176"
"575" 32401 "woman" 1919 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "unqualified non-manual and manual workers" NA 1248.59362792969 1.10810708999634 "575"
"691" 38801 "woman" 1953 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 936.315795898438 0.830965459346771 "691"
"1462" 83041 "woman" 1954 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 695.243347167969 0.617017507553101 "1462"
"109" 8751 "woman" 1943 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA "unqualified non-manual and manual workers" 1072.21997070312 0.951578259468079 "109"
"1898" NA "woman" 1931 NA NA NA NA "other self-employed" NA 1933.35314941406 1.71582043170929 "1898"
"2263" 129131 "man" 1936 "Itally" NA NA NA "academic professions and senior management" NA 5516.95166015625 4.89620733261108 "2263"
"968" 55051 "woman" 1947 "Switzerland" "french" "Roman Catholic" "about once a month" NA "unqualified non-manual and manual workers" 1528.10095214844 1.35616540908813 "968"
"1353" 77251 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 655.271667480469 0.581543207168579 "1353"
"502" 28261 "man" 1939 "Itally" NA NA NA NA NA 5244.0966796875 4.654052734375 "502"
"154" 11392 "man" 1943 "Switzerland" "french" "no denomination or religion" "never" "academic professions and senior management" NA 2128.79565429688 1.88927245140076 "154"
"1734" 99561 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1112.33605957031 0.987180650234222 "1734"
"1363" NA "man" 1952 NA NA NA NA "other self-employed" NA 1076.55895996094 0.955429077148438 "1363"
"477" 26901 "woman" 1946 "Switzerland" "french" "no denomination or religion" "never" "academic professions and senior management" NA 823.374755859375 0.730732083320618 "477"
"1413" 81071 "man" 1942 "Switzerland" "german" "no denomination or religion" "about once a month" "qualified manual professions" NA 1393.97412109375 1.23712992668152 "1413"
"291" 18001 "man" 1926 "Switzerland" "german" "Protestant or Reformed Church" "never" "intermediate professions" NA 992.576782226562 0.880896210670471 "291"
"128" 9731 "man" 1935 "Switzerland" "french" "Jewish" "never" NA "unqualified non-manual and manual workers" 1173.83129882812 1.04175674915314 "128"
"1118" 63061 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "other self-employed" 776.97705078125 0.689554870128632 "1118"
"1890" 107111 "woman" 1925 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "liberal professions" NA 1541.19580078125 1.36778688430786 "1890"
"2304" 131631 "man" 1953 "Switzerland" "german" NA NA "academic professions and senior management" NA 756.465881347656 0.671351492404938 "2304"
"2155" 122941 "man" 1916 "Switzerland" "french" "Roman Catholic" "never" NA NA 1904.46459960938 1.69018220901489 "2155"
"1477" NA "man" 1953 NA NA NA NA NA NA 0 0 "1477"
"2216" 125291 "woman" 1940 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 1946.90283203125 1.72784543037415 "2216"
"1307" 74391 "woman" 1953 "Switzerland" NA NA NA NA NA 1609.45739746094 1.42836797237396 "1307"
"1519" 86501 "man" 1936 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 1239.73364257812 1.10024392604828 "1519"
"1951" 109871 "man" 1940 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "academic professions and senior management" NA 1119.69750976562 0.993713855743408 "1951"
"1164" 66641 "man" 1930 "Switzerland" "german" "Roman Catholic" "every two weeks" "qualified non-manual professions" NA 918.037475585938 0.814743757247925 "1164"
"2020" 114001 "man" 1953 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 1030.57983398438 0.914623320102692 "2020"
"1020" NA "woman" 1933 NA NA NA NA NA NA 1997.6279296875 1.77286314964294 "1020"
"464" 26471 "man" 1924 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "intermediate professions" NA 1003.88037109375 0.890927970409393 "464"
"1679" 96571 "man" 1930 "Switzerland" "italian" "Roman Catholic" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1016.26586914062 0.901919901371002 "1679"
"1606" 91931 "woman" 1955 "Switzerland" NA NA NA NA NA 1629.64697265625 1.44628596305847 "1606"
"1448" 82731 "woman" 1951 "Switzerland" "german" "Muslim" "never" "qualified manual professions" NA 0 0 "1448"
"1698" 98382 "woman" 1957 "Croatia" NA NA NA NA NA 3524.70825195312 3.12812280654907 "1698"
"80" 7131 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1184.71740722656 1.05141794681549 "80"
"2267" 129251 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "qualified non-manual professions" NA 1060.59753417969 0.941263556480408 "2267"
"1725" 99201 "woman" 1944 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 1061.93579101562 0.942451238632202 "1725"
"2292" 130941 "woman" 1952 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 705.609680175781 0.626217424869537 "2292"
"1735" 99571 "man" 1938 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 894.423950195312 0.793787121772766 "1735"
"377" 22581 "man" 1928 "Switzerland" "german" NA NA "academic professions and senior management" NA 850.717834472656 0.754998624324799 "377"
"1604" 91911 "man" 1938 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 1062.22705078125 0.942709743976593 "1604"
"1414" 81201 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1351.21435546875 1.19918131828308 "1414"
"982" 55921 "woman" 1940 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 955.295593261719 0.847809731960297 "982"
"383" 22751 "man" 1923 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 856.527038574219 0.760154187679291 "383"
"1418" 81471 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" "qualified non-manual professions" 1158.78527832031 1.02840352058411 "1418"
"2461" 141691 "woman" 1943 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "unqualified non-manual and manual workers" NA 1015.21282958984 0.900985300540924 "2461"
"2307" 131911 "man" 1930 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 919.331604003906 0.815892279148102 "2307"
"2080" 117491 "woman" 1935 "France and territories" "french" "other Christian denomination" "once a week" "intermediate professions" NA 2295.85375976562 2.0375337600708 "2080"
"1715" NA "woman" 1938 NA NA NA NA "intermediate professions" "other self-employed" 1188.79223632812 1.0550342798233 "1715"
"2373" 136411 "woman" 1947 "Switzerland" "german" "Roman Catholic" "once a week" "qualified manual professions" NA 790.890258789062 0.701902627944946 "2373"
"1853" 105431 "man" 1927 "Switzerland" NA NA NA NA NA 1759.78149414062 1.56177818775177 "1853"
"1684" 97751 "woman" 1957 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 675.150085449219 0.599185049533844 "1684"
"1794" 102431 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "unqualified non-manual and manual workers" NA 1754.26623535156 1.55688345432281 "1794"
"992" 56541 "woman" 1938 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 1011.52770996094 0.897714853286743 "992"
"1250" 71111 "woman" 1934 "Switzerland" "german" NA NA "other self-employed" "other self-employed" 1123.99951171875 0.997531771659851 "1250"
"1637" 93841 "woman" 1952 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 1164.65173339844 1.03360998630524 "1637"
"523" 29301 "woman" 1925 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "liberal professions" NA 1211.26708984375 1.07498049736023 "523"
"1222" 69241 "man" 1951 "Switzerland" NA NA NA NA NA 1936.35009765625 1.71848011016846 "1222"
